datetime,ticker0,bid_qty0,bid0,ask0,ask_qty0,last0,last_qty0,ticker1,bid_qty1,bid1,ask1,ask_qty1,last1,last_qty1,ticker2,bid_qty2,bid2,ask2,ask_qty2,last2,last_qty2,ticker3,bid_qty3,bid3,ask3,ask_qty3,last3,last_qty3,ticker4,bid_qty4,bid4,ask4,ask_qty4,last4,last_qty4,ticker5,bid_qty5,bid5,ask5,ask_qty5,last5,last_qty5
2015-06-11 04:00:00,KMU5 Index,,,,,254.3,4,,,,,,,,NHU5 Index,41,20155,20160,14,20155,26,VGM5 Index,114,3521,3522,83,3521,1781,ESU5 Index,155,2097.75,2098,232,2097.75,478,USDJPY Curncy,0,122.62,122.63,0,122.63,0
2015-06-11 04:01:00,KMU5 Index,,,,,254.3,4,,,,,,,,NHU5 Index,6,20155,20160,40,20155,26,VGM5 Index,114,3521,3522,83,3521,1781,ESU5 Index,161,2097.75,2098,235,2098,298,USDJPY Curncy,0,122.63,122.64,0,122.64,0
2015-06-11 08:00:00,KMU5 Index,19,253.9,253.95,23,253.95,719,,,,,,,,NHU5 Index,19,20180,20185,24,20185,40,,,,,,,,ESU5 Index,25,2096,2096.25,57,2096.25,24,USDJPY Curncy,0,122.93,122.94,0,122.94,0
2015-06-11 08:01:00,KMU5 Index,24,253.7,253.8,34,253.75,473,,,,,,,,NHU5 Index,27,20195,20205,25,20200,99,,,,,,,,ESU5 Index,4,2096,2096.25,24,2096.25,10,USDJPY Curncy,0,122.93,122.94,0,122.94,0
2015-06-11 14:00:00,KMU5 Index,33,253.6,253.65,21,253.65,384,HIM5 Index,2,26603,26607,2,26605,232,NHU5 Index,18,20375,20385,20,20380,139,VGM5 Index,69,3518,3520,55,3519,1991,ESU5 Index,46,2096.25,2096.75,10,2096.5,32,USDJPY Curncy,0,123.21,123.22,0,123.22,0
2015-06-11 14:01:00,KMU5 Index,45,253.6,253.65,62,253.65,393,HIM5 Index,2,26601,26604,1,26601,329,NHU5 Index,33,20375,20385,40,20380,13,VGM5 Index,71,3519,3520,40,3519,359,ESU5 Index,77,2096.25,2096.75,33,2096.5,8,USDJPY Curncy,0,123.23,123.24,0,123.24,0
2015-06-12 04:00:00,KMU5 Index,28,253.7,254.2,6,253.95,20,HIM5 Index,2,26817,,,,,NHU5 Index,20,20415,20420,14,20420,73,VGM5 Index,116,3550,3552,97,3551,851,ESU5 Index,445,2101.75,2102,508,2102,6992,USDJPY Curncy,0,123.34,123.35,0,123.35,0
2015-06-12 04:01:00,KMU5 Index,28,253.7,254.2,6,253.95,20,HIM5 Index,2,26817,,,,,NHU5 Index,25,20415,20420,27,20415,49,VGM5 Index,116,3550,3552,97,3551,851,ESU5 Index,319,2101.5,2101.75,331,2101.5,3892,USDJPY Curncy,0,123.33,123.34,0,123.34,0
2015-06-12 08:00:00,KMU5 Index,29,254.65,254.75,27,254.65,3404,,,,,,,,NHU5 Index,16,20420,20425,15,20420,99,,,,,,,,ESU5 Index,43,2099,2099.5,42,2099.25,26,USDJPY Curncy,0,123.61,123.62,0,123.62,0
2015-06-12 08:01:00,KMU5 Index,25,254.65,254.7,32,254.7,1322,,,,,,,,NHU5 Index,16,20410,20420,11,20415,76,,,,,,,,ESU5 Index,33,2099.25,2099.75,30,2099.5,83,USDJPY Curncy,0,123.58,123.59,0,123.58,0
